Jordan 1 High Bleached Coral,M10,Brand New,,145,
Yeezy 700 Geode,M6.5,Brand New,,70,MNVN??
Jordan 1 Low Travis Scott Mocha,M10,Brand New,,1650,OG??
Adidas Hu Billionare Boys Club,M9.5,Brand New,,60,GW3955???
Jordan 1 Off-White University Blue,M11.5,Used/OG All,,,
Jordan 1 Off-White Chicago,M9.5,Used/OG All,,,
Jordan 1 Low Chicago Flip,W11,Brand New,,45,
Jordan 1 High Fearless UNC Chicago,M9.5,Brand New,,170,
Nike Waffle Off-White White,W11,Brand New,,70,
Nike Uptempo Bulls Hoops Pack,M11,Used/OG All,,,
Yeezy 750 OG Light Brown,M10,Used/Damaged Box,,,
Jordan 1 High Guava Ice,M10,Brand New,,100,
Jordan 1 Mid Artic Orange,M9.5,Brand New,,40,
Nike Waffle Sacai Maroon Team Royal,M9.5,Brand New/Damaged Box,,,
Jordan 11 Low Legend Blue,M9.5,Brand New,,200,
Nike Adapt Dark Grey,M14,Brand New,,70,ADAPT BB??
Nike Waffle Off-White Vivid Sky,W11,Brand New,,100,
Nike Air Force Travis Scott Sail,M10,Brand New,,580,
Nike SB Dunk Purple Lobster,M10.5,Brand New,,540,
Jordan 1 High Hand Crafted,M9.5,Brand New,,80,
Jordan 1 High Black Crimson Tint,M9.5,Brand New,,70,
Yeezy 700 Geode,M9.5,Brand New,,70,MNVN???
Nike Air Force NYC Porcell Wildcard,M9.5,Brand New,,90,
Jordan 1 High Gore-Tex Light Bone,M9.5,Brand New,,120,
Nike PG2.5 Playstation Wolf Grey,M10,Brand New,,135,
Nike Air Force Travis Scott Sail,M11.5,Brand New,,660,
Jordan 1 High Hand Crafted,M9.5,Brand New,,75,
Jordan 1 Mid Equality (2019),M10.5,Brand New,,120,
Jordan 1 Bordeaux,M9.5,Brand New,,60,
Jordan 1 High Hyper Royal Smoke Grey,M9,Brand New,,170,
Adidas UltraBoost Targaryen Dragons,M9.5,Brand New,,110,
Jordan 1 High University Blue,M9.5,Brand New,,180,
Nike SB Dunk St.Patty's Day,M9.5,Brand New,,130,LOW?
Nike Blazer Off-White Grim Reaper,M11,Brand New,,450,
Yeezy 700 Carbon Blue,M5,Brand New/Damaged Box,,,
Jordan 1 Dave White Wings,M11.5,Used/OG All,,,
Jordan 1 Mid Signal Blue,M11,Brand New,,70,
Jordan 1 High Gatorade Orange Peel,M8.5,Used/Rep Box,,,
Jordan 1 Low Court Purple,M9.5,Brand New,,100,
Jordan 1 High Bloodline,M9.5,Brand New,,125,
Nike Air Max CLOT Kiss of Death,M9.5,Brand New,,30,
Nike Zoom Off-White Terra Kiger 5,W12,Brand New,,,SKU????
Nike Dunk High Sail Crimson Tint,W9,Brand New,,25,
Jordan 3 Pine Green,M10.5,Brand New,,200,
Jordan AJ1 KO Premium Black,M9,Used/OG All,,,
Jordan 1 High Shadow 2.0,M9.5,Brand New,,120,
Jordan 1 Low Bred Toe,M9.5,Brand New,,50,
Nike Dunk High AMBUSH Black White,M10,Brand New,,210,
Yeezy 350 Core Black White,M10.5,Used/OG All,,,
Yeezy 350 Citrin (Non-Reflective),M10.5,Brand New,,110,
Jordan 3 Chlorophyll,M10,Brand New,,160,
Jordan 1 AJKO Chicago,M10.5,Brand New,,90,
Yeezy 700 Analog,M4,Brand New,,80,
Yeezy 350 Israfil,M9.5,Brand New,,150,
Yeezy 350 Lundmark (Reflective),M7,Brand New,,170,
Yeezy 350 Ash Pearl,M9.5,Brand New,,110,
Yeezy 700 Fade Carbon,M9.5,Brand New,,65,
Yeezy 700 Geode,M13,Brand New,,80,MNVN??
Yeezy 350 Cream,M9.5,Brand New,,210,
