original_shoe_name,original_size,original_price,condition,bid_profit,ask_profit,stockx_bid,stockx_ask,stockx_sku,stockx_url,stockx_size,size_match_uncertain,stockx_shoe_name
JORDAN 1 BLACK TOE REIMAGINED,90,,,,,,,,,,,
JORDAN 1 85 BLACK/WHITE,170,,,,,,,,,,,
JORDAN 1 SPIDERVERSE,50,,,,,,,,,,,
JORDAN 4 MILITARY BLACK,560,,,,,,,,,,,
JORDAN 4 RED CEMENT,190,,,,,,,,,,,
JORDAN 4 THUNDER,9,260,,$25.00,$91.00,$285,$351,FQ8138-001,https://stockx.com/air-jordan-4-retro-white-thunder,9,,Jordan 4 Retro White Thunder
JORDAN 4 THUNDER,12,240,,$45.00,$84.00,$285,$324,FQ8138-001,https://stockx.com/air-jordan-4-retro-white-thunder,12,,Jordan 4 Retro White Thunder
JORDAN 4 WHITE THUNDER,5 - 3,570,,$-266.00,$-160.00,$304,$410,FQ8138-001,https://stockx.com/air-jordan-4-retro-white-thunder,5,,Jordan 4 Retro White Thunder
JORDAN 4 WHITE THUNDER,6 - 2,380,,$-69.00,$45.00,$311,$425,FQ8138-001,https://stockx.com/air-jordan-4-retro-white-thunder,6,,Jordan 4 Retro White Thunder
JORDAN 4 MILITARY BLUE,8,200,,$2.00,$56.00,$202,$256,FV5029-141,https://stockx.com/air-jordan-4-retro-military-blue-2024,8,,Jordan 4 Retro Military Blue (2024)
JORDAN 4 MILITARY BLUE,12,170,,$15.00,$33.00,$185,$203,FV5029-141,https://stockx.com/air-jordan-4-retro-military-blue-2024,12,,Jordan 4 Retro Military Blue (2024)
JORDAN 4 MILITARY BLUE,5 - 2,,,,,$215,$364,FV5029-141,https://stockx.com/air-jordan-4-retro-military-blue-2024,5,,Jordan 4 Retro Military Blue (2024)
JORDAN 4 INFRARED,11,190,,$26.00,$56.00,$216,$246,DH6927-061,https://stockx.com/air-jordan-4-retro-infrared,11,,Jordan 4 Retro Infrared
JORDAN 4 INFRARED,11.5,190,,$8.00,$69.00,$198,$259,DH6927-061,https://stockx.com/air-jordan-4-retro-infrared,11.5,,Jordan 4 Retro Infrared
JORDAN 5 OFF WHITE SAIL,9.5,460,,$-25.00,$115.00,$435,$575,DH8565-100,https://stockx.com/air-jordan-5-retro-off-white-sail,9.5,,Jordan 5 Retro Off-White Sail
JORDAN 5 JADE HORIZON,12,130,,$20.00,$28.00,$150,$158,DC7501-300,https://stockx.com/air-jordan-5-retro-jade-horizon,12,,Jordan 5 Retro Jade Horizon
JORDAN 12 BARON,10.5,190,,$40.00,$70.00,$230,$260,CT8013-010,https://stockx.com/air-jordan-12-retro-barons-2024,10.5,,Jordan 12 Retro Barons
JORDAN 12 BARON,11.5,200,,$5.00,$93.00,$205,$293,CT8013-010,https://stockx.com/air-jordan-12-retro-barons-2024,11.5,,Jordan 12 Retro Barons
NIKE DUNK LOW BLUEBERRY,4.5,60,,$-30.00,$29.00,$30,$89,DZ4456-100,https://stockx.com/nike-dunk-low-blueberry-gs,4.5Y,YES,Nike Dunk Low Blueberry (GS)
