original_shoe_name,original_size,original_price,condition,bid_profit,ask_profit,stockx_bid,stockx_ask,stockx_sku,stockx_url,stockx_size,size_match_uncertain,stockx_shoe_name
NIKE DUNK LOW BLUEBERRY,5,55,,$-25.00,$30.00,$30,$85,DZ4456-100,https://stockx.com/nike-dunk-low-blueberry-gs,5Y,YES,Nike Dunk Low Blueberry (GS)
NIKE DUNK LOW BLUEBERRY,5.5,70,,$-40.00,$67.00,$30,$137,DZ4456-100,https://stockx.com/nike-dunk-low-blueberry-gs,5.5Y,YES,Nike Dunk Low Blueberry (GS)
NIKE DUNK LOW BLUEBERRY,6,65,,$-35.00,$31.00,$30,$96,DZ4456-100,https://stockx.com/nike-dunk-low-blueberry-gs,6Y,YES,Nike Dunk Low Blueberry (GS)
NIKE DUNK LOW BLUEBERRY,7,60,,$-30.00,$52.00,$30,$112,DZ4456-100,https://stockx.com/nike-dunk-low-blueberry-gs,7Y,YES,Nike Dunk Low Blueberry (GS)
NIKE DUNK LOW UNC,5.5,50,,$-10.00,$30.00,$40,$80,CW1590-103,https://stockx.com/nike-dunk-low-unc-2021-gs,5.5Y,YES,Nike Dunk Low UNC (GS)
NIKE DUNK LOW UNC,6,50,,$-5.00,$22.00,$45,$72,CW1590-103,https://stockx.com/nike-dunk-low-unc-2021-gs,6Y,YES,Nike Dunk Low UNC (GS)
NIKE DUNK LOW UNC,6.5,45,,$-5.00,$22.00,$40,$67,CW1590-103,https://stockx.com/nike-dunk-low-unc-2021-gs,6.5Y,YES,Nike Dunk Low UNC (GS)
NIKE DUNK LOW POLAR,9.5,50,,$-10.00,$11.00,$40,$61,DV0833-400,https://stockx.com/nike-dunk-low-polar-blue,9.5,,Nike Dunk Low Polar Blue
NIKE DUNK LOW POLAR,10.5,70,,$-10.00,$13.00,$60,$83,DV0833-400,https://stockx.com/nike-dunk-low-polar-blue,10.5,,Nike Dunk Low Polar Blue
NIKE DUNK LOW POLAR,11,65,,$8.00,$21.00,$73,$86,DV0833-400,https://stockx.com/nike-dunk-low-polar-blue,11,,Nike Dunk Low Polar Blue
NIKE DUNK LOW POLAR,13,40,,$21.00,$33.00,$61,$73,DV0833-400,https://stockx.com/nike-dunk-low-polar-blue,13,,Nike Dunk Low Polar Blue
SB RIOT,5,50,,$-23.00,$52.00,$27,$102,FZ1289-200,https://stockx.com/nike-sb-dunk-low-riot-skateshop,5,,Nike SB Dunk Low Riot Skateshop
SB RIOT,12,100,,$27.00,$47.00,$127,$147,FZ1289-200,https://stockx.com/nike-sb-dunk-low-riot-skateshop,12,,Nike SB Dunk Low Riot Skateshop
SB RIOT,9.5,55,,$45.00,$72.00,$100,$127,FZ1289-200,https://stockx.com/nike-sb-dunk-low-riot-skateshop,9.5,,Nike SB Dunk Low Riot Skateshop
SB RIOT,9,60,,$65.00,$84.00,$125,$144,FZ1289-200,https://stockx.com/nike-sb-dunk-low-riot-skateshop,9,,Nike SB Dunk Low Riot Skateshop
KENTUCKY DUNK LOW,9,110,,$-75.00,$39.00,$35,$149,CU1726-100,https://stockx.com/nike-dunk-low-sp-kentucky,9,,Nike Dunk Low SP Kentucky
YEEZY 350 CLAY,9.5,175,,$-104.00,$-46.00,$71,$129,GW2870,https://stockx.com/adidas-yeezy-boost-350-v2-mono-clay,9.5,,adidas Yeezy Boost 350 V2 Mono Clay
YEEZY 350 HYPERSPACE,9,170,,$15.00,$26.00,$185,$196,EG7491,https://stockx.com/adidas-yeezy-boost-350-v2-hyperspace,9,,adidas Yeezy Boost 350 V2 Hyperspace
Nike Dunk Panda,5Y,,Brand New/No Lid Box,,,$31,$35,CW1590-100,https://stockx.com/nike-dunk-low-retro-white-black-gs,5Y,,Nike Dunk Low Retro White Black Panda (GS)
Nike Dunk Reverse Panda,M10,60,Brand New,$15.00,$80.00,$75,$140,DJ6188-101,https://stockx.com/nike-dunk-low-reverse-panda,10,,Nike Dunk Low Reverse Panda
Jordan 1 Mid Shattered Backboard,M11,,Used/Rep Box,,,$165,$424,554724-058,https://stockx.com/air-jordan-1-mid-shattered-backboard,11,,Jordan 1 Mid Shattered Backboard
Jordan 1 Mid Banned,M9.5,70,Brand New,$-17.00,$34.00,$53,$104,554724-074,https://stockx.com/air-jordan-1-mid-banned-2020,9.5,,Jordan 1 Mid Banned (2020)
Adidas Chinese New Year 93/16,M8.5,,Used/Special Box,,,,,BA7777,https://stockx.com/adidas-eqt-support-93-16-chinese-new-year,8.5,,adidas EQT Support 93/16 Chinese New Year
Adidas Human Race BBC Astro Blue,M9.5,60,Brand New,,,,,,,,,
Nike PG3 Mamba Mentality,M9.5,50,Brand New,$-10.00,$220.00,$40,$270,AO2607-900/AO2608-900,https://stockx.com/nike-pg-3-mamba-mentality,9.5,,Nike PG 3 Mamba Mentality
Jordan 1 High Guava Ice,M10,110,Brand New,$-8.00,$31.00,$102,$141,555088-801,https://stockx.com/air-jordan-1-retro-high-guava-ice,10,,Jordan 1 Retro High Guava Ice
Jordan 1 High UNC Patent,W12,280,Brand New,$-40.00,$70.00,$240,$350,CD0461-401,https://stockx.com/air-jordan-1-retro-high-unc-patent-w,12W,YES,Jordan 1 Retro High UNC Patent (Women's)
Jordan 1 Mid Tan Gum,M9,70,Brand New,,$20.00,,$90,554724-271,https://stockx.com/air-jordan-1-mid-tan-gum,9,,Jordan 1 Mid Tan Gum
Nike Dunk High Sail Grey,W9,40,Brand New,$-15.00,$42.00,$25,$82,DD1869-102,https://stockx.com/nike-dunk-high-sail-pale-ivory-w,9W,YES,Nike Dunk High Sail Football Grey (Women's)
Nike Dunk GeorgeTown,M9,100,Brand New,$0.00,$75.00,$100,$175,DD1391-003,https://stockx.com/nike-dunk-low-georgetown,9,,Nike Dunk Low Georgetown
Jordan 1 Low White Ghost Green,M9.5,90,Brand New,$-5.00,$70.00,$85,$160,DM7837-103,https://stockx.com/air-jordan-1-retro-low-white-ghost-green-black,9.5,,Jordan 1 Retro Low White Ghost Green Black
Jordan 1 High NYC To Paris,M9.5,120,Brand New,$30.00,$65.00,$150,$185,CD6578-006,https://stockx.com/air-jordan-1-sb-nyc-to-paris,9.5,,Jordan 1 Retro High OG Defiant SB NYC to Paris
Nike Racer Off-White Black,W11,80,Brand New,$53.00,$196.00,$133,$276,CD8180-001,https://stockx.com/nike-waffle-racer-off-white-black-w,11W,YES,Nike Waffle Racer Off-White Black (Women's)
Jordan 1 Low Crimson Tint,M9.5,70,Brand New,$12.00,$65.00,$82,$135,553558-034,https://stockx.com/air-jordan-1-low-crimson-tint,9.5,,Jordan 1 Low Crimson Tint
Jordan 1 High Phantom Gym Red,M10.5,,Used/OG All,,,$126,$298,555088-160,https://stockx.com/air-jordan-1-retro-high-phantom-gym-red,10.5,,Jordan 1 Retro High Phantom Gym Red
Jordan 1 Low Black Mettalic Silver,W11,,Brand New/Damaged Box,,,$21,$98,DA5551-001,https://stockx.com/air-jordan-1-low-se-black-metallic-silver-w,11W,YES,Jordan 1 Low SE Black Metallic Silver (Women's)
Jordan 1 Mid Hyper Royal,M9.5,,Brand New/Damaged Box,,,$72,$83,554724-077,https://stockx.com/air-jordan-1-mid-black-royal-tumbled-leather,9.5,,Jordan 1 Mid Hyper Royal Tumbled Leather
Yeezy 350 Mono ice,M9.5,130,Brand New,$1.00,$47.00,$131,$177,GW2869,https://stockx.com/adidas-yeezy-boost-350-v2-mono-ice,9.5,,adidas Yeezy Boost 350 V2 Mono Ice
Jordan 1 High First Class Flight,M11,,VNDS/OG All,,,$110,$195,555088-170,https://stockx.com/air-jordan-1-retro-high-first-class-flight,11,,Jordan 1 Retro High First Class Flight
Jordan 1 Mid University Blue,W11,50,Brand New,$-13.00,$89.00,$37,$139,BQ6472-102,https://stockx.com/air-jordan-1-mid-university-black-white-w,11W,YES,Jordan 1 Mid University Blue (Women's)
Yeezy 350 Citrin,M9.5,130,Brand New,$12.00,$49.00,$142,$179,FW3042,https://stockx.com/adidas-yeezy-boost-350-v2-citrin,9.5,,adidas Yeezy Boost 350 V2 Citrin (Non-Reflective)
Yeezy 350 Linen,M9.5,150,Brand New,$13.00,$69.00,$163,$219,FY5158,https://stockx.com/adidas-yeezy-boost-350-v2-linen,9.5,,adidas Yeezy Boost 350 V2 Linen
Jordan 1 High Phantom Gym Red,M9.5,160,Brand New,$-44.00,$13.00,$116,$173,555088-160,https://stockx.com/air-jordan-1-retro-high-phantom-gym-red,9.5,,Jordan 1 Retro High Phantom Gym Red
Yeezy 350 Desert Sage,M9.5,120,Brand New,$12.00,$41.00,$132,$161,FX9035,https://stockx.com/adidas-yeezy-boost-350-v2-desert-sage,9.5,,adidas Yeezy Boost 350 V2 Desert Sage
Yeezy 350 Semi Frozen Yellow,M9.5,140,Brand New,$10.00,$109.00,$150,$249,B37572,https://stockx.com/adidas-yeezy-boost-350-v2-semi-frozen-yellow,9.5,,adidas Yeezy Boost 350 V2 Semi Frozen Yellow
Jordan 1 High Court Purple,M9.5,110,Brand New,$12.00,$43.00,$122,$153,555088-500,https://stockx.com/air-jordan-1-retro-high-court-purple-white,9.5,,Jordan 1 Retro High Court Purple White
Jordan 1 High Shadow 2.0,M10.5,120,Brand New,$5.00,$43.00,$125,$163,555088-035,https://stockx.com/air-jordan-1-retro-high-black-white-light-smoke-grey,10.5,,Jordan 1 Retro High  Shadow 2.0
Nike Dunk High Game Royal,M10,,Used/OG All,,,$37,$79,DD1399-102,https://stockx.com/nike-dunk-high-game-royal,10,,Nike Dunk High Game Royal
Nike SB Dunk High Turdunken,M9,80,Brand New,$20.00,$60.00,$100,$140,DC6887-200,https://stockx.com/nike-sb-dunk-high-concepts-turdunken,9,,Nike SB Dunk High Concepts Turdunken
Jordan 1 High Chicago (2015),M9.5,,Used/OG All,,,$241,$259,HV8563-600,https://stockx.com/air-jordan-1-retro-high-og-sp-union-la-chicago-shadow,9.5,,Jordan 1 Retro High OG SP Union LA Chicago Shadow
Yeezy 700 Tephra,M9.5,160,Brand New,$0.00,$35.00,$160,$195,FU7914,https://stockx.com/adidas-yeezy-boost-700-v2-tephra,9.5,,adidas Yeezy Boost 700 V2 Tephra
Jordan 1 Mid Metallic Gold Black,M11.5,50,Brand New,$-15.00,$30.00,$35,$80,HV0789-010,https://stockx.com/air-jordan-1-mid-se-patent-black-white-metallic-silver-metallic-gold,11.5,,Jordan 1 Mid SE Patent Black White Metallic Silver Metallic Gold
DUNK LOW SB PANDA PIGEON,M11,570,Brand New,$-120.00,$185.00,$450,$755,BV1310-013,https://stockx.com/nike-sb-dunk-low-panda-pigeon,11,,Nike SB Dunk Low Staple Panda Pigeon
Jordan 3 Racer Blue,M9.5,200,Brand New,$2.00,$30.00,$202,$230,CT8532-145,https://stockx.com/air-jordan-3-retro-racer-blue,9.5,,Jordan 3 Retro Racer Blue
Jordan 1 High Zoom Gold Laser,M9.5,50,Brand New,$-10.00,$150.00,$40,$200,DQ0659-700,https://stockx.com/air-jordan-1-high-zoom-air-cmft-gold-laser,9.5,,Jordan 1 High Zoom Air CMFT Gold Laser
JORDAN 1 HOMAGE TO HOME,M11,190,Brand New,$0.00,$45.00,$190,$235,861428-061,https://stockx.com/air-jordan-1-retro-high-homage-to-home-nn,11,,Jordan 1 Retro High Homage To Home (Non-numbered)
Adidas Human Race Inspiration White,M9.5,,Brand New,,,$11,,FY2294,https://stockx.com/adidas-superstar-pharrell-human-race-white,9.5,,adidas Superstar Pharrell Human Race White
Jordan 1 Mid Tropical Twist,M9.5,50,Brand New,$3.00,$20.00,$53,$70,554724-132,https://stockx.com/air-jordan-1-mid-igloo,9.5,,Jordan 1 Mid Tropical Twist Igloo
Nike Sb Dunk High Invert Celtics,M9,75,Brand New,$-15.00,$69.00,$60,$144,CU7349-001,https://stockx.com/nike-sb-dunk-high-invert-celtics,9,,Nike SB Dunk High Invert Celtics
Jordan 12 Chinese New Year (2019),M11,,Used/OG All,,,$155,$275,CI2977-006,https://stockx.com/air-jordan-12-retro-chinese-new-year-2019,11,,Jordan 12 Retro Chinese New Year (2019)
Nike Dunk Mid SS Strawberry Milk,M10,50,Brand New,$12.00,$54.00,$62,$104,DJ1173-600,https://stockx.com/nike-dunk-mid-social-status-strawberry-milk,10,,Nike Dunk Mid Social Status Free Lunch Strawberry Milk
Yeezy 700 Mauve,M9.5,160,Brand New,$22.00,$104.00,$182,$264,EE9614,https://stockx.com/adidas-yeezy-boost-700-mauve,9.5,,adidas Yeezy Boost 700 Mauve
Yeezy 700 Faded Azure,M9.5,100,Brand New,$40.00,$72.00,$140,$172,GZ2002,https://stockx.com/adidas-yeezy-boost-700-faded-azure,9.5,,adidas Yeezy Boost 700 Faded Azure
Nike Dunk High Syracuse (2021),W11,35,Brand New,$-10.00,$338.00,$25,$373,DD1869-100,https://stockx.com/nike-dunk-high-syracuse-w-2021,11W,YES,Nike Dunk High Syracuse (2021) (Women's)
Jordan 14 Supreme White,M9.5,190,Brand New,$15.00,$123.00,$205,$313,BV7630-106,https://stockx.com/air-jordan-14-retro-supreme-white,9.5,,Jordan 14 Retro Supreme White
Jordan 3 Muslim,M9.5,150,Brand New,$35.00,$47.00,$185,$197,DH7139-100,https://stockx.com/air-jordan-3-retro-muslin,9.5,,Jordan 3 Retro Muslin
Nike Dunk Off-White Green Strike,M10.5,340,Brand New,$21.00,$130.00,$361,$470,CU6015-001,https://stockx.com/nike-air-rubber-dunk-off-white-green-strike,10.5,,Nike Air Rubber Dunk Off-White Green Strike
Jordan 4 Royalty,M11,,Used/OG All,,,$316,$466,308497-032,https://stockx.com/air-jordan-4-retro-royalty,11,,Jordan 4 Retro Royalty
Nike Blazer Off-White Grim Reaper,M9.5,,Brand New/Damaged Box,,,$301,$874,AA3832-001,https://stockx.com/nike-blazer-mid-off-white-grim-reaper,9.5,,Nike Blazer Mid Off-White Grim Reaper
Nike Blazer Stranger Things,M9.5,,Brand New,,,$25,$132,CJ6101-100,https://stockx.com/nike-blazer-high-stranger-things-hawkins-high-school,9.5,,Nike Blazer Mid Stranger Things Hawkins High School
Nike Zoom Fly Off-White Pink,M10,250,Brand New,$-150.00,$67.00,$100,$317,AJ4588-600,https://stockx.com/nike-zoom-fly-off-white-pink,10,,Nike Zoom Fly Off-White Pink
Jordan 5 Raging Bull,M9.5,200,Brand New,$21.00,$90.00,$221,$290,DD0587-600,https://stockx.com/air-jordan-5-retro-raging-bulls-red-2021,9.5,,Jordan 5 Retro Raging Bull Red (2021)
Jordan 1 High Dark Marina Blue,M11,60,Brand New,$5.00,$30.00,$65,$90,555088-404,https://stockx.com/air-jordan-1-retro-high-og-dark-marina-blue,11,,Jordan 1 Retro High OG Dark Marina Blue
Nike Blazer Off-White All Hallows Eve,M9.5,330,Brand New,$50.00,$120.00,$380,$450,AA3832-700,https://stockx.com/nike-blazer-mid-off-white-all-hallows-eve,9.5,,Nike Blazer Mid Off-White All Hallow's Eve
Jordan 1 High OG Black,M10,,Brand New/Damaged Box,,,$92,$110,DZ5485-106,https://stockx.com/air-jordan-1-retro-high-og-black-toe-reimagined,10,,Jordan 1 Retro High OG Black Toe Reimagined
Jordan 1 High Gatorade Blue Lagoon,M10,,Used/OG All,,,$171,$927,AJ5997-455,https://stockx.com/air-jordan-1-retro-high-gatorade-blue-lagoon,10,,Jordan 1 Retro High Gatorade Blue Lagoon
Nike Foamposite Sequoia,M9,,Used/OG All,,,$200,$350,624041-304,https://stockx.com/nike-air-air-foamposite-pro-sequoia,9,,Nike Air Foamposite Pro Sequoia
Nike SB High NBA Cavs,M11.5,50,Brand New,$-15.00,$140.00,$35,$190,BQ6392-001,https://stockx.com/nike-sb-dunk-high-nba-cavs,11.5,,Nike SB Dunk High NBA Cavs
Jordan 1 Low Reverse Bred,M13,70,Brand New,$42.00,$62.00,$112,$132,553558-606,https://stockx.com/air-jordan-1-low-reverse-bred,13,,Jordan 1 Low Reverse Bred
Jordan 1 High Bleached Coral,M10,145,Brand New,$-8.00,$33.00,$137,$178,555088-108,https://stockx.com/air-jordan-1-retro-high-og-stage-haze,10,,Jordan 1 Retro High OG Bleached Coral
Yeezy 700 Geode,M6.5,70,Brand New,$-20.00,$65.00,$50,$135,GW9526,https://stockx.com/adidas-yeezy-boost-700-mnvn-geode,6.5,,adidas Yeezy Boost 700 MNVN Geode
Jordan 1 Low Travis Scott Mocha,M10,1650,Brand New,$-248.00,$40.00,$1402,$1690,DM7866-162,https://stockx.com/air-jordan-1-retro-low-og-sp-travis-scott-reverse-mocha,10,,Jordan 1 Retro Low OG SP Travis Scott Reverse Mocha
Adidas Hu Billionare Boys Club,M9.5,60,Brand New,$-8.00,$50.00,$52,$110,GW3955,https://stockx.com/adidas-nmd-hu-pharrell-x-billionaire-boys-club-astronaut-blue,9.5,,adidas NMD Hu Pharrell x Billionaire Boys Club Astronaut Blue
Jordan 1 Off-White University Blue,M11.5,,Used/OG All,,,$1326,$2000,AQ0818-148,https://stockx.com/air-jordan-1-retro-high-off-white-university-blue,11.5,,Jordan 1 Retro High Off-White University Blue
Jordan 1 Off-White Chicago,M9.5,,Used/OG All,,,$2500,$4495,AA3834-101,https://stockx.com/air-jordan-1-retro-high-off-white-chicago,9.5,,Jordan 1 Retro High Off-White Chicago
Jordan 1 Low Chicago Flip,W11,45,Brand New,$-5.00,$136.00,$40,$181,DC0774-603,https://stockx.com/air-jordan-1-low-chicago-flip-w,11W,YES,Jordan 1 Low Chicago Flip (Women's)
Jordan 1 High Fearless UNC Chicago,M9.5,170,Brand New,$10.00,$59.00,$180,$229,CK5666-100,https://stockx.com/air-jordan-1-retro-high-fearless-unc-chicago,9.5,,Jordan 1 Retro High Fearless UNC Chicago
Nike Waffle Off-White White,W11,70,Brand New,$-15.00,$156.00,$55,$226,CD8180-100,https://stockx.com/nike-waffle-racer-off-white-white-w,11W,YES,Nike Waffle Racer Off-White White (Women's)
Nike Uptempo Bulls Hoops Pack,M11,,Used/OG All,,,$60,$259,921948-600,https://stockx.com/nike-air-more-uptempo-hoops-pack-17,11,,Nike Air More Uptempo Bulls Hoops Pack
Yeezy 750 OG Light Brown,M10,,Used/Damaged Box,,,$621,$1700,B35309,https://stockx.com/adidas-yeezy-boost-750-light-brown,10,,adidas Yeezy Boost 750 OG Light Brown
Jordan 1 High Guava Ice,M10,100,Brand New,$-8.00,$31.00,$102,$141,555088-801,https://stockx.com/air-jordan-1-retro-high-guava-ice,10,,Jordan 1 Retro High Guava Ice
Jordan 1 Mid Artic Orange,M9.5,40,Brand New,$9.00,$66.00,$49,$106,554724-133,https://stockx.com/air-jordan-1-mid-crimson-tint-toe,9.5,,Jordan 1 Mid Arctic Orange Black Toe
Nike Waffle Sacai Maroon Team Royal,M9.5,,Brand New/Damaged Box,,,$130,$159,DJ4877-600,https://stockx.com/nike-ld-waffle-sacai-undercover-team-royal,9.5,,Nike LD Waffle sacai Undercover Night Maroon Team Royal
Jordan 11 Low Legend Blue,M9.5,200,Brand New,$15.00,$44.00,$215,$244,AV2187-117,https://stockx.com/air-jordan-11-retro-low-legend-blue,9.5,,Jordan 11 Retro Low Legend Blue
Nike Adapt Dark Grey,M14,70,Brand New,$-45.00,$179.00,$25,$249,AO2582-004,https://stockx.com/nike-adapt-bb-dark-grey,14,,Nike Adapt BB Dark Grey (US Charger)
Nike Waffle Off-White Vivid Sky,W11,100,Brand New,$-39.00,$100.00,$61,$200,CD8180-400,https://stockx.com/nike-waffle-racer-off-white-vivid-sky-w,11W,YES,Nike Waffle Racer Off-White Vivid Sky (Women's)
Nike Air Force Travis Scott Sail,M10,580,Brand New,$-72.00,$200.00,$508,$780,AQ4211-101,https://stockx.com/nike-air-force-1-low-travis-scott-sail,10,,Nike Air Force 1 Low Travis Scott Sail
Nike SB Dunk Purple Lobster,M10.5,540,Brand New,$710.00,$1094.00,$1250,$1634,BV1310-555,https://stockx.com/nike-sb-dunk-low-concepts-purple-lobster,10.5,,Nike SB Dunk Low Concepts Purple Lobster
Jordan 1 High Hand Crafted,M9.5,80,Brand New,$-15.00,$38.00,$65,$118,DH3097-001,https://stockx.com/air-jordan-1-retro-high-og-hand-crafted,9.5,,Jordan 1 Retro High OG Hand Crafted
Jordan 1 High Black Crimson Tint,M9.5,70,Brand New,$10.00,$65.00,$80,$135,555088-081,https://stockx.com/air-jordan-1-retro-high-black-hyper-pink,9.5,,Jordan 1 Retro High Black Crimson Tint
Yeezy 700 Geode,M9.5,70,Brand New,$-20.00,$81.00,$50,$151,GW9526,https://stockx.com/adidas-yeezy-boost-700-mnvn-geode,9.5,,adidas Yeezy Boost 700 MNVN Geode
Nike Air Force NYC Porcell Wildcard,M9.5,90,Brand New,$8.00,$135.00,$98,$225,CJ0691-100,https://stockx.com/nike-air-force-1-low-nyc-procell-wildcard,9.5,,Nike Air Force 1 Low NYC Procell Wildcard
Jordan 1 High Gore-Tex Light Bone,M9.5,120,Brand New,$5.00,$79.00,$125,$199,DB2889-100,https://stockx.com/air-jordan-1-high-element-gore-tex-light-bone,9.5,,Jordan 1 Retro High Element Gore-Tex Light Bone
Nike PG2.5 Playstation Wolf Grey,M10,135,Brand New,$15.00,$75.00,$150,$210,BQ8388-001,https://stockx.com/nike-pg-2-5-playstation-wolf-grey,10,,Nike PG 2.5 Playstation Wolf Grey
Nike Air Force Travis Scott Sail,M11.5,660,Brand New,$-70.00,$139.00,$590,$799,AQ4211-101,https://stockx.com/nike-air-force-1-low-travis-scott-sail,11.5,,Nike Air Force 1 Low Travis Scott Sail
Jordan 1 High Hand Crafted,M9.5,75,Brand New,$-15.00,$38.00,$65,$118,DH3097-001,https://stockx.com/air-jordan-1-retro-high-og-hand-crafted,9.5,,Jordan 1 Retro High OG Hand Crafted
Jordan 1 Mid Equality (2019),M10.5,120,Brand New,$-30.00,$248.00,$90,$368,852542-010,https://stockx.com/air-jordan-1-mid-equality-2019,10.5,,Jordan 1 Mid Equality (2019)
Jordan 1 Bordeaux,M9.5,60,Brand New,$6.00,$32.00,$66,$92,555088-611,https://stockx.com/air-jordan-1-retro-high-bordeaux,9.5,,Jordan 1 Retro High OG Bordeaux
Jordan 1 High Hyper Royal Smoke Grey,M9,170,Brand New,$13.00,$35.00,$183,$205,555088-402,https://stockx.com/air-jordan-1-retro-high-hyper-royal-smoke-grey,9,,Jordan 1 Retro High Hyper Royal Smoke Grey
Adidas UltraBoost Targaryen Dragons,M9.5,110,Brand New,$-18.00,$150.00,$92,$260,EE3709,https://stockx.com/adidas-ultra-boost-4-game-of-thrones-targaryen,9.5,,adidas Ultra Boost 4.0 Game of Thrones Targaryen Dragons
Jordan 1 High University Blue,M9.5,180,Brand New,$26.00,$35.00,$206,$215,555088-134,https://stockx.com/air-jordan-1-retro-high-white-university-blue-black,9.5,,Jordan 1 Retro High OG University Blue
Nike SB Dunk St.Patty's Day,M9.5,130,Brand New,$-90.00,,$40,,305050-373,https://stockx.com/nike-dunk-sb-high-st-pattys-day,9.5,,Nike SB Dunk High St Patty's Day
Nike Blazer Off-White Grim Reaper,M11,450,Brand New,$-75.00,$650.00,$375,$1100,AA3832-001,https://stockx.com/nike-blazer-mid-off-white-grim-reaper,11,,Nike Blazer Mid Off-White Grim Reaper
Yeezy 700 Carbon Blue,M5,,Brand New/Damaged Box,,,,$234,FW2498,https://stockx.com/adidas-yeezy-boost-700-carbon-blue,5,,adidas Yeezy Boost 700 Carbon Blue
Jordan 1 Dave White Wings,M11.5,,Used/OG All,,,$250,$1035,464803-001,https://stockx.com/jordan-1-retro-dave-white-wings-for-the-future,11.5,,Jordan 1 Retro Dave White Wings for the Future
Jordan 1 Mid Signal Blue,M11,70,Brand New,$-25.00,$47.00,$45,$117,DD6834-402,https://stockx.com/air-jordan-1-mid-signal-blue,11,,Jordan 1 Mid Signal Blue
Jordan 1 High Gatorade Orange Peel,M8.5,,Used/Rep Box,,,$166,$384,AJ5997-880,https://stockx.com/air-jordan-1-retro-high-gatorade-orange-peel,8.5,,Jordan 1 Retro High Gatorade Orange Peel
Jordan 1 Low Court Purple,M9.5,100,Brand New,$16.00,$45.00,$116,$145,DD9315-105,https://stockx.com/air-jordan-1-retro-low-golf-court-purple,9.5,,Jordan 1 Retro Low Golf Court Purple
Jordan 1 High Bloodline,M9.5,125,Brand New,$-25.00,$49.00,$100,$174,555088-062,https://stockx.com/air-jordan-1-retro-high-bloodline,9.5,,Jordan 1 Retro High Bloodline
Nike Air Max CLOT Kiss of Death,M9.5,30,Brand New,$17.00,$35.00,$47,$65,DD1870-100,https://stockx.com/nike-air-max-1-clot-kiss-of-death-2021,9.5,,Nike Air Max 1 CLOT Kiss of Death (2021)
