original_shoe_name,original_size,original_price,condition,bid_profit,ask_profit,stockx_bid,stockx_ask,stockx_sku,stockx_url,stockx_size,size_match_uncertain,stockx_shoe_name
Nike SB Dunk High Turdunken,M9,80,Brand New,$20.00,$60.00,$100,$140,DC6887-200,https://stockx.com/nike-sb-dunk-high-concepts-turdunken,9,,Nike SB Dunk High Concepts Turdunken
Jordan 1 High Chicago (2015),M9.5,,Used/OG All,,,,,,,,,
Yeezy 700 Tephra,M9.5,160,Brand New,,,,,,,,,
Jordan 1 Mid Metallic Gold Black,M11.5,50,Brand New,,,,,,,,,
DUNK LOW SB PANDA PIGEON,M11,570,Brand New,$-120.00,$185.00,$450,$755,BV1310-013,https://stockx.com/nike-sb-dunk-low-panda-pigeon,11,,Nike SB Dunk Low Staple Panda Pigeon
Jordan 3 Racer Blue,M9.5,200,Brand New,,,,,,,,,
Jordan 1 High Zoom Gold Laser,M9.5,50,Brand New,$-10.00,$150.00,$40,$200,DQ0659-700,https://stockx.com/air-jordan-1-high-zoom-air-cmft-gold-laser,9.5,,Jordan 1 High Zoom Air CMFT Gold Laser
JORDAN 1 HOMAGE TO HOME,M11,190,Brand New,,,,,,,,,
Adidas Human Race Inspiration White,M9.5,,Brand New,,,,,,,,,
Jordan 1 Mid Tropical Twist,M9.5,50,Brand New,$3.00,$20.00,$53,$70,554724-132,https://stockx.com/air-jordan-1-mid-igloo,9.5,,Jordan 1 Mid Tropical Twist Igloo
Nike Sb Dunk High Invert Celtics,M9,75,Brand New,$-15.00,$69.00,$60,$144,CU7349-001,https://stockx.com/nike-sb-dunk-high-invert-celtics,9,,Nike SB Dunk High Invert Celtics
Jordan 12 Chinese New Year (2019),M11,,Used/OG All,,,,,,,,,
Nike Dunk Mid SS Strawberry Milk,M10,50,Brand New,$12.00,$54.00,$62,$104,DJ1173-600,https://stockx.com/nike-dunk-mid-social-status-strawberry-milk,10,,Nike Dunk Mid Social Status Free Lunch Strawberry Milk
Yeezy 700 Mauve,M9.5,160,Brand New,,,,,,,,,
Yeezy 700 Faded Azure,M9.5,100,Brand New,,,,,,,,,
Nike Dunk High Syracuse (2021),W11,35,Brand New,$-10.00,$338.00,$25,$373,DD1869-100,https://stockx.com/nike-dunk-high-syracuse-w-2021,11W,YES,Nike Dunk High Syracuse (2021) (Women's)
Jordan 14 Supreme White,M9.5,190,Brand New,,,,,,,,,
Jordan 3 Muslim,M9.5,150,Brand New,,,,,,,,,
Nike Dunk Off-White Green Strike,M10.5,340,Brand New,,,,,,,,,
Jordan 4 Royalty,M11,,Used/OG All,,,,,,,,,
Nike Blazer Off-White Grim Reaper,M9.5,,Brand New/Damaged Box,,,$301,$874,AA3832-001,https://stockx.com/nike-blazer-mid-off-white-grim-reaper,9.5,,Nike Blazer Mid Off-White Grim Reaper
Nike Blazer Stranger Things,M9.5,,Brand New,,,,,,,,,
Nike Zoom Fly Off-White Pink,M10,250,Brand New,$-150.00,$67.00,$100,$317,AJ4588-600,https://stockx.com/nike-zoom-fly-off-white-pink,10,,Nike Zoom Fly Off-White Pink
Jordan 5 Raging Bull,M9.5,200,Brand New,,,,,,,,,
Jordan 1 High Dark Marina Blue,M11,60,Brand New,,,,,,,,,
Nike Blazer Off-White All Hallows Eve,M9.5,330,Brand New,,,,,,,,,
Jordan 1 High OG Black,M10,,Brand New/Damaged Box,,,,,,,,,
Jordan 1 High Gatorade Blue Lagoon,M10,,Used/OG All,,,,,,,,,
Nike Foamposite Sequoia,M9,,Used/OG All,,,,,,,,,
Nike SB High NBA Cavs,M11.5,50,Brand New,,,,,,,,,
Jordan 1 Low Reverse Bred,M13,70,Brand New,,,,,,,,,
Jordan 1 High Bleached Coral,M10,145,Brand New,,,,,,,,,
Yeezy 700 Geode,M6.5,70,Brand New,,,,,,,,,
Jordan 1 Low Travis Scott Mocha,M10,1650,Brand New,,,,,,,,,
Adidas Hu Billionare Boys Club,M9.5,60,Brand New,,,,,,,,,
Jordan 1 Off-White University Blue,M11.5,,Used/OG All,,,$1326,$2000,AQ0818-148,https://stockx.com/air-jordan-1-retro-high-off-white-university-blue,11.5,,Jordan 1 Retro High Off-White University Blue
Jordan 1 Off-White Chicago,M9.5,,Used/OG All,,,,,,,,,
Jordan 1 Low Chicago Flip,W11,45,Brand New,,,,,,,,,
Jordan 1 High Fearless UNC Chicago,M9.5,170,Brand New,,,,,,,,,
Nike Waffle Off-White White,W11,70,Brand New,,,,,,,,,
Nike Uptempo Bulls Hoops Pack,M11,,Used/OG All,,,,,,,,,
Yeezy 750 OG Light Brown,M10,,Used/Damaged Box,,,,,,,,,
Jordan 1 High Guava Ice,M10,100,Brand New,$-8.00,$36.00,$102,$146,555088-801,https://stockx.com/air-jordan-1-retro-high-guava-ice,10,,Jordan 1 Retro High Guava Ice
Jordan 1 Mid Artic Orange,M9.5,40,Brand New,,,,,,,,,
Nike Waffle Sacai Maroon Team Royal,M9.5,,Brand New/Damaged Box,,,$130,$159,DJ4877-600,https://stockx.com/nike-ld-waffle-sacai-undercover-team-royal,9.5,,Nike LD Waffle sacai Undercover Night Maroon Team Royal
Jordan 11 Low Legend Blue,M9.5,200,Brand New,$15.00,$44.00,$215,$244,AV2187-117,https://stockx.com/air-jordan-11-retro-low-legend-blue,9.5,,Jordan 11 Retro Low Legend Blue
Nike Adapt Dark Grey,M14,70,Brand New,,,,,,,,,
Nike Waffle Off-White Vivid Sky,W11,100,Brand New,,,,,,,,,
Nike Air Force Travis Scott Sail,M10,580,Brand New,,,,,,,,,
Nike SB Dunk Purple Lobster,M10.5,540,Brand New,,,,,,,,,
Jordan 1 High Hand Crafted,M9.5,80,Brand New,,,,,,,,,
Jordan 1 High Black Crimson Tint,M9.5,70,Brand New,,,,,,,,,
Yeezy 700 Geode,M9.5,70,Brand New,,,,,,,,,
Nike Air Force NYC Porcell Wildcard,M9.5,90,Brand New,,,,,,,,,
Jordan 1 High Gore-Tex Light Bone,M9.5,120,Brand New,$5.00,$79.00,$125,$199,DB2889-100,https://stockx.com/air-jordan-1-high-element-gore-tex-light-bone,9.5,,Jordan 1 Retro High Element Gore-Tex Light Bone
Nike PG2.5 Playstation Wolf Grey,M10,135,Brand New,$15.00,$75.00,$150,$210,BQ8388-001,https://stockx.com/nike-pg-2-5-playstation-wolf-grey,10,,Nike PG 2.5 Playstation Wolf Grey
Nike Air Force Travis Scott Sail,M11.5,660,Brand New,,,,,,,,,
Jordan 1 High Hand Crafted,M9.5,75,Brand New,,,,,,,,,
Jordan 1 Mid Equality (2019),M10.5,120,Brand New,,,,,,,,,
Jordan 1 Bordeaux,M9.5,60,Brand New,,,,,,,,,
Jordan 1 High Hyper Royal Smoke Grey,M9,170,Brand New,,,,,,,,,
Adidas UltraBoost Targaryen Dragons,M9.5,110,Brand New,,,,,,,,,
Jordan 1 High University Blue,M9.5,180,Brand New,,,,,,,,,
Nike SB Dunk St.Patty's Day,M9.5,130,Brand New,,,,,,,,,
Nike Blazer Off-White Grim Reaper,M11,450,Brand New,$-119.00,$650.00,$331,$1100,AA3832-001,https://stockx.com/nike-blazer-mid-off-white-grim-reaper,11,,Nike Blazer Mid Off-White Grim Reaper
Yeezy 700 Carbon Blue,M5,,Brand New/Damaged Box,,,,,,,,,
Jordan 1 Dave White Wings,M11.5,,Used/OG All,,,,,,,,,
Jordan 1 Mid Signal Blue,M11,70,Brand New,,,,,,,,,
Jordan 1 High Gatorade Orange Peel,M8.5,,Used/Rep Box,,,,,,,,,
Jordan 1 Low Court Purple,M9.5,100,Brand New,,,,,,,,,
Jordan 1 High Bloodline,M9.5,125,Brand New,$-25.00,$49.00,$100,$174,555088-062,https://stockx.com/air-jordan-1-retro-high-bloodline,9.5,,Jordan 1 Retro High Bloodline
Nike Air Max CLOT Kiss of Death,M9.5,30,Brand New,,,,,,,,,
Nike Zoom Off-White Terra Kiger 5,W12,,Brand New,,,,,,,,YES,
Nike Dunk High Sail Crimson Tint,W9,25,Brand New,,,,,,,,,
Jordan 3 Pine Green,M10.5,200,Brand New,,,,,,,,,
Jordan AJ1 KO Premium Black,M9,,Used/OG All,,,,,,,,,
Jordan 1 High Shadow 2.0,M9.5,120,Brand New,$1.00,$37.00,$121,$157,555088-035,https://stockx.com/air-jordan-1-retro-high-black-white-light-smoke-grey,9.5,,Jordan 1 Retro High  Shadow 2.0
Jordan 1 Low Bred Toe,M9.5,50,Brand New,,,,,,,,,
Nike Dunk High AMBUSH Black White,M10,210,Brand New,,,,,,,,,
Yeezy 350 Core Black White,M10.5,,Used/OG All,,,,,,,,,
Yeezy 350 Citrin (Non-Reflective),M10.5,110,Brand New,$23.00,$59.00,$133,$169,FW3042,https://stockx.com/adidas-yeezy-boost-350-v2-citrin,10.5,,adidas Yeezy Boost 350 V2 Citrin (Non-Reflective)
Jordan 3 Chlorophyll,M10,160,Brand New,$7.00,$89.00,$167,$249,136064-006,https://stockx.com/air-jordan-3-retro-chlorophyll,10,,Jordan 3 Retro Chlorophyll
Jordan 1 AJKO Chicago,M10.5,90,Brand New,,,,,,,,,
Yeezy 700 Analog,M4,80,Brand New,$-2.00,$43.00,$78,$123,EG7596,https://stockx.com/adidas-yeezy-boost-700-analog,4,,adidas Yeezy Boost 700 Analog
Yeezy 350 Israfil,M9.5,150,Brand New,,,,,,,,,
Yeezy 350 Lundmark (Reflective),M7,170,Brand New,,,,,,,,,
Yeezy 350 Ash Pearl,M9.5,110,Brand New,,,,,,,,,
Yeezy 700 Fade Carbon,M9.5,65,Brand New,,,,,,,,,
Yeezy 700 Geode,M13,80,Brand New,$-55.00,$136.00,$25,$216,GW9526,https://stockx.com/adidas-yeezy-boost-700-mnvn-geode,13,,adidas Yeezy Boost 700 MNVN Geode
Yeezy 350 Cream,M9.5,210,Brand New,$-30.00,$68.00,$180,$278,CP9366,https://stockx.com/adidas-yeezy-boost-350-v2-cream-white,9.5,,adidas Yeezy Boost 350 V2 Cream
Yeezy 350 Yeshaya (Non-Reflective),M9.5,110,Brand New,,,,,,,,,
Yeezy 350 Sand Taupe,M9.5,,Brand New/Damaged Box,,,,,,,,,
Yeezy 500 Blush,M9.5,140,Brand New,,,,,,,,,
Yeezy 700 Inertia,M9.5,270,Brand New,,,,,,,,,
Jordan MTM Pack 1/29,M8.5,,Used/Missing 1 Pair,,,,,,,,,
Jordan 1 High Doernbecher Mr Boober,M11.5,,Used/No Box,,,,,,,,,
Nike Dunk NN Elemental Pink,W8,,Brand New/No Lid Box,,,$45,$60,DD1873-112,https://stockx.com/nike-dunk-low-next-nature-elemental-pink-womens,8W,YES,Nike Dunk Low Next Nature Elemental Pink (Women's)
Air Max 270 Travis Scott Cactus Trails,M10.5,220,Brand New,,,,,,,,,
Nike Vomero Photon Dust,W10.5,100,Brand New,,,,,,,,,
Jordan 4 Vivid Sulfur,W6.5,,Brand New/No Lid Box,,,,,,,,,
Jordan 4 Vivid Sulfur,W6,,Brand New/No Lid Box,,,,,,,,,
Yeezy 350 Flax,M8.5,110,Brand New,,,,,,,,,
