,offers here,quantity,condition,stockx_bid,stockx_ask,lowest_consigned,last_consigned_price,last_consigned_date,lowest_with_you,last_with_you_price,last_with_you_date,consignment_price,ship_to_verify_price,stockx_sku,stockx_url,stockx_size,stockx_shoe_name
ds,,1,,$116,$146,$240.00,$250.00,90,$158.00,$200.00,19,$240.00,$158.00,414571-167,https://stockx.com/air-jordan-13-retro-del-sol,10.5,Jordan 13 Retro Del Sol
ds,,1,,$170,$199,$253.00,$256.00,30,$191.00,$191.00,5,$253.00,$191.00,DJ5982-600,https://stockx.com/air-jordan-13-retro-gym-red-flint-grey,10.5,Jordan 13 Retro Gym Red Flint Grey
ds,,1,,$208,$291,$236.00,$349.00,0,$221.00,$349.00,0,$236.00,$221.00,487471-160,https://stockx.com/air-jordan-14-retro-black-toe-2024,10.5,Jordan 14 Retro Black Toe (2024)
ds,,1,,$56,$111,$135.00,$133.00,31,$105.00,$105.00,3,$135.00,$105.00,DH5360-300,https://stockx.com/nike-dunk-low-olive-brown-orange,10.5,Nike Dunk Low Dusty Olive
ds,,1,,$235,$289,$670.00,$716.00,153,$670.00,$680.00,24,$670.00,$670.00,FN0432-100,https://stockx.com/air-jordan-1-retro-low-og-trophy-room-away,10.5,Jordan 1 Retro Low OG Trophy Room Rookie Card Away
ds,,1,,$378,$440,$698.00,$544.00,18,$475.00,$500.00,13,$698.00,$475.00,555088-602,https://stockx.com/air-jordan-1-retro-high-chicago-crystal,10,Jordan 1 Retro High Spider-Man Origin Story
ds,,1,,$265,$310,$323.00,$415.00,7,$279.00,$212.00,0,$323.00,$279.00,555088-105,https://stockx.com/air-jordan-1-retro-high-dark-mocha,10,Jordan 1 Retro High Dark Mocha
ds,,1,,$160,$200,,,,,,,,,555088-018,https://stockx.com/air-jordan-1-retro-high-neutral-grey-hyper-crimson,10,Jordan 1 Retro High Neutral Grey Hyper Crimson
ds,,1,,$230,$375,,,,,,,,,CD0461-401,https://stockx.com/air-jordan-1-retro-high-unc-patent-w,11.5W,Jordan 1 Retro High UNC Patent (Women's)
ds,,1,,$65,$88,$300.00,$224.00,270,$300.00,$240.00,83,$300.00,$300.00,CZ0790-140,https://stockx.com/air-jordan-1-retro-low-og-game-royal,10,Jordan 1 Retro Low OG Game Royal
ds,,1,,$65,$88,$300.00,$224.00,270,$300.00,$240.00,83,$300.00,$300.00,CZ0790-140,https://stockx.com/air-jordan-1-retro-low-og-game-royal,10,Jordan 1 Retro Low OG Game Royal
ds,,1,,$235,$260,$350.00,$325.00,16,$274.00,$268.00,12,$350.00,$274.00,555088-311,https://stockx.com/air-jordan-1-retro-high-turbo-green,10,Jordan 1 Retro High Turbo Green
ds,,1,,$210,$239,$344.00,$315.00,4,$273.00,$315.00,4,$344.00,$273.00,CD6578-507,https://stockx.com/air-jordan-1-sb-la-to-chicago,10,Jordan 1 Retro High OG Defiant SB LA to Chicago
ds,,1,,$86,$134,$199.00,$149.00,43,$130.00,$131.00,2,$199.00,$130.00,HQ2010-012,https://stockx.com/air-jordan-1-low-light-smoke-grey-off-noir,10,Jordan 1 Low Light Smoke Grey Off Noir
ds,,1,,,,,,,,,,,,,,,
ds,,1,,$210,$243,$247.00,$261.00,6,$216.00,$234.00,0,$247.00,$216.00,555088-036,https://stockx.com/air-jordan-1-retro-high-og-rebellionaire,10,Jordan 1 Retro High OG Rebellionaire
ds,,1,,$126,$148,,,,,,,,,DZ5485-400,https://stockx.com/air-jordan-1-high-og-unc-toe,10,Jordan 1 Retro High OG UNC Toe
ds,,1,,$59,$90,$97.00,$81.00,41,$97.00,$85.00,15,$97.00,$97.00,555088-701,https://stockx.com/air-jordan-1-retro-high-pollen,10,Jordan 1 Retro High Pollen
ds,,1,,$59,$90,$97.00,$81.00,41,$97.00,$85.00,15,$97.00,$97.00,555088-701,https://stockx.com/air-jordan-1-retro-high-pollen,10,Jordan 1 Retro High Pollen
ds,,1,,,,,,,,,,,,,,,
ds,,1,,$40,$319,,,,,$195.00,544,,,555088-701,https://stockx.com/air-jordan-1-retro-high-pollen,5.5,Jordan 1 Retro High Pollen
ds,,1,,$44,$76,$83.00,$66.00,38,$70.00,$70.00,4,$83.00,$70.00,555088-603,https://stockx.com/air-jordan-1-retro-high-og-light-fusion-red,10,Jordan 1 Retro High OG Light Fusion Red
ds,,1,,$30,$93,$104.00,$89.00,37,$87.00,$89.00,12,$104.00,$87.00,555088-603,https://stockx.com/air-jordan-1-retro-high-og-light-fusion-red,11.5,Jordan 1 Retro High OG Light Fusion Red
ds,,1,,$66,$98,$164.00,$127.00,197,$82.00,$128.00,135,$164.00,$82.00,555088-404,https://stockx.com/air-jordan-1-retro-high-og-dark-marina-blue,10,Jordan 1 Retro High OG Dark Marina Blue
ds,,1,,$45,$60,,,,$126.00,$178.00,40,,$126.00,555088-118,https://stockx.com/air-jordan-1-retro-high-white-black-volt-university-gold,10,Jordan 1 Retro High White Black Volt University Gold
ds,,1,,$65,$110,$145.00,$122.00,190,$99.00,$102.00,37,$145.00,$99.00,DB2889-700,https://stockx.com/air-jordan-1-high-element-gore-tex-light-curry,10,Jordan 1 Retro High Element Gore-Tex Light Curry
ds,,1,,$80,$137,$117.00,$119.00,150,$82.00,$84.00,11,$117.00,$82.00,555088-061,https://stockx.com/air-jordan-1-retro-high-black-gym-red,10,Jordan 1 Retro High Black Gym Red
ds,,1,,$121,$154,$181.00,$181.00,14,$146.00,$145.00,1,$181.00,$146.00,555088-035,https://stockx.com/air-jordan-1-retro-high-black-white-light-smoke-grey,10,Jordan 1 Retro High  Shadow 2.0
ds,,1,,$25,$125,$320.00,$114.00,22,$217.00,$218.00,3,$320.00,$217.00,DV1305-308,https://stockx.com/air-jordan-1-high-zoom-air-cmft-2-pine-green-orange-blaze-womens,10W,Jordan 1 High Zoom Air CMFT 2 Pine Green Orange Blaze (Women's)
ds,,1,,$44,$126,,$140.00,266,$90.00,$85.00,12,,$90.00,555088-015,https://stockx.com/air-jordan-1-retro-high-sports-illustrated,10,Jordan 1 Retro High Sports Illustrated (A Star Is Born)
ds,,1,,$74,$113,$90.00,$126.00,234,$90.00,$135.00,154,$90.00,$90.00,DB4612-300,https://stockx.com/air-jordan-1-retro-high-lucky-green-w,11.5W,Jordan 1 Retro High Lucky Green (Women's)
ds,,1,,$122,$165,,$69.00,944,$109.00,$100.00,594,,$109.00,555088-062,https://stockx.com/air-jordan-1-retro-high-bloodline,10,Jordan 1 Retro High Bloodline
ds,,1,,$170,$334,$183.00,$168.00,146,$178.00,$146.00,11,$183.00,$178.00,555088-170,https://stockx.com/air-jordan-1-retro-high-first-class-flight,10,Jordan 1 Retro High First Class Flight
ds,,1,,$55,$75,$95.00,$68.00,3,$80.00,$68.00,3,$95.00,$80.00,CZ0775-046,https://stockx.com/air-jordan-1-retro-low-og-unc-to-chicago-womens,11.5W,Jordan 1 Retro Low OG NC to Chi (Women's)
ds,,1,,$111,$162,$160.00,$167.00,17,$160.00,$167.00,3,$160.00,$160.00,555088-500,https://stockx.com/air-jordan-1-retro-high-court-purple-white,10,Jordan 1 Retro High Court Purple White
ds,,1,,$75,$99,$143.00,$132.00,47,$86.00,$115.00,20,$143.00,$86.00,555088-711,https://stockx.com/air-jordan-1-retro-high-og-yellow-toe,10.5,Jordan 1 Retro High OG Taxi
ds,,1,,$44,$76,$83.00,$66.00,38,$70.00,$70.00,4,$83.00,$70.00,555088-603,https://stockx.com/air-jordan-1-retro-high-og-light-fusion-red,10,Jordan 1 Retro High OG Light Fusion Red
ds,,1,,$230,$258,$202.00,$286.00,3,$202.00,$274.00,0,$202.00,$202.00,FV5029-006,https://stockx.com/air-jordan-4-retro-bred-reimagined,10.5,Jordan 4 Retro Bred Reimagined
ds,,1,,$185,$224,$244.00,$300.00,91,$209.00,$260.00,22,$244.00,$209.00,FZ7974-300,https://stockx.com/air-jordan-3-retro-sp-nina-chanel-abney-bicoastal-womens,12W,Jordan 3 Retro SP Nina Chanel Abney Bicoastal (Women's)
ds,,1,,$221,$230,,$396.00,330,$350.00,$350.00,6,,$350.00,FV5029-100,https://stockx.com/air-jordan-4-retro-white-cement-2025,10.5,Jordan 4 Retro White Cement (2025)
ds,,1,,,,,,,,,,,,,,,
